grantee,table_schema,table_name,privilege_type,is_grantable
postgres,app,orders,TRUNCATE,YES
postgres,app,orders,UPDATE,YES
anon,app,pro_progress,DELETE,NO
anon,app,pro_progress,INSERT,NO
anon,app,pro_progress,SELECT,NO
anon,app,pro_progress,UPDATE,NO
authenticated,app,pro_progress,DELETE,NO
authenticated,app,pro_progress,INSERT,NO
authenticated,app,pro_progress,SELECT,NO
authenticated,app,pro_progress,UPDATE,NO
postgres,app,pro_progress,DELETE,YES
postgres,app,pro_progress,INSERT,YES
postgres,app,pro_progress,REFERENCES,YES
postgres,app,pro_progress,SELECT,YES
postgres,app,pro_progress,TRIGGER,YES
postgres,app,pro_progress,TRUNCATE,YES
postgres,app,pro_progress,UPDATE,YES
anon,app,pro_requirements,DELETE,NO
anon,app,pro_requirements,INSERT,NO
anon,app,pro_requirements,SELECT,NO
anon,app,pro_requirements,UPDATE,NO
authenticated,app,pro_requirements,DELETE,NO
authenticated,app,pro_requirements,INSERT,NO
authenticated,app,pro_requirements,SELECT,NO
authenticated,app,pro_requirements,UPDATE,NO
postgres,app,pro_requirements,DELETE,YES
postgres,app,pro_requirements,INSERT,YES
postgres,app,pro_requirements,REFERENCES,YES
postgres,app,pro_requirements,SELECT,YES
postgres,app,pro_requirements,TRIGGER,YES
postgres,app,pro_requirements,TRUNCATE,YES
postgres,app,pro_requirements,UPDATE,YES
anon,app,profiles,DELETE,NO
anon,app,profiles,INSERT,NO
anon,app,profiles,SELECT,NO
anon,app,profiles,UPDATE,NO
authenticated,app,profiles,DELETE,NO
authenticated,app,profiles,INSERT,NO
authenticated,app,profiles,SELECT,NO
authenticated,app,profiles,UPDATE,NO
postgres,app,profiles,DELETE,YES
postgres,app,profiles,INSERT,YES
postgres,app,profiles,REFERENCES,YES
postgres,app,profiles,SELECT,YES
postgres,app,profiles,TRIGGER,YES
postgres,app,profiles,TRUNCATE,YES
postgres,app,profiles,UPDATE,YES
anon,app,purchases,DELETE,NO
anon,app,purchases,INSERT,NO
anon,app,purchases,SELECT,NO
anon,app,purchases,UPDATE,NO
authenticated,app,purchases,DELETE,NO
authenticated,app,purchases,INSERT,NO
authenticated,app,purchases,SELECT,NO
authenticated,app,purchases,UPDATE,NO
postgres,app,purchases,DELETE,YES
postgres,app,purchases,INSERT,YES
postgres,app,purchases,REFERENCES,YES
postgres,app,purchases,SELECT,YES
postgres,app,purchases,TRIGGER,YES
postgres,app,purchases,TRUNCATE,YES
postgres,app,purchases,UPDATE,YES
anon,app,services,DELETE,NO
anon,app,services,INSERT,NO
anon,app,services,SELECT,NO
anon,app,services,UPDATE,NO
authenticated,app,services,DELETE,NO
authenticated,app,services,INSERT,NO
authenticated,app,services,SELECT,NO
authenticated,app,services,UPDATE,NO
postgres,app,services,DELETE,YES
postgres,app,services,INSERT,YES
postgres,app,services,REFERENCES,YES
postgres,app,services,SELECT,YES
postgres,app,services,TRIGGER,YES
postgres,app,services,TRUNCATE,YES
postgres,app,services,UPDATE,YES
anon,app,tarot_requests,DELETE,NO
anon,app,tarot_requests,INSERT,NO
anon,app,tarot_requests,SELECT,NO
anon,app,tarot_requests,UPDATE,NO
authenticated,app,tarot_requests,DELETE,NO
authenticated,app,tarot_requests,INSERT,NO
authenticated,app,tarot_requests,SELECT,NO
authenticated,app,tarot_requests,UPDATE,NO
postgres,app,tarot_requests,DELETE,YES
postgres,app,tarot_requests,INSERT,YES
postgres,app,tarot_requests,REFERENCES,YES
postgres,app,tarot_requests,SELECT,YES
postgres,app,tarot_requests,TRIGGER,YES
postgres,app,tarot_requests,TRUNCATE,YES
postgres,app,tarot_requests,UPDATE,YES
anon,app,teacher_approvals,DELETE,NO
anon,app,teacher_approvals,INSERT,NO
anon,app,teacher_approvals,SELECT,NO
anon,app,teacher_approvals,UPDATE,NO
authenticated,app,teacher_approvals,DELETE,NO
authenticated,app,teacher_approvals,INSERT,NO
authenticated,app,teacher_approvals,SELECT,NO
authenticated,app,teacher_approvals,UPDATE,NO
postgres,app,teacher_approvals,DELETE,YES
postgres,app,teacher_approvals,INSERT,YES
postgres,app,teacher_approvals,REFERENCES,YES
postgres,app,teacher_approvals,SELECT,YES
postgres,app,teacher_approvals,TRIGGER,YES
postgres,app,teacher_approvals,TRUNCATE,YES
postgres,app,teacher_approvals,UPDATE,YES
anon,app,teacher_directory,DELETE,NO
anon,app,teacher_directory,INSERT,NO
anon,app,teacher_directory,SELECT,NO
anon,app,teacher_directory,UPDATE,NO
authenticated,app,teacher_directory,DELETE,NO
authenticated,app,teacher_directory,INSERT,NO
authenticated,app,teacher_directory,SELECT,NO
authenticated,app,teacher_directory,UPDATE,NO
postgres,app,teacher_directory,DELETE,YES
postgres,app,teacher_directory,INSERT,YES
postgres,app,teacher_directory,REFERENCES,YES
postgres,app,teacher_directory,SELECT,YES
postgres,app,teacher_directory,TRIGGER,YES
postgres,app,teacher_directory,TRUNCATE,YES
postgres,app,teacher_directory,UPDATE,YES
anon,app,teacher_permissions,DELETE,NO
anon,app,teacher_permissions,INSERT,NO
anon,app,teacher_permissions,SELECT,NO
anon,app,teacher_permissions,UPDATE,NO
authenticated,app,teacher_permissions,DELETE,NO
authenticated,app,teacher_permissions,INSERT,NO
authenticated,app,teacher_permissions,SELECT,NO
authenticated,app,teacher_permissions,UPDATE,NO
postgres,app,teacher_permissions,DELETE,YES
postgres,app,teacher_permissions,INSERT,YES
postgres,app,teacher_permissions,REFERENCES,YES
postgres,app,teacher_permissions,SELECT,YES
postgres,app,teacher_permissions,TRIGGER,YES
postgres,app,teacher_permissions,TRUNCATE,YES
postgres,app,teacher_permissions,UPDATE,YES
anon,app,teacher_requests,DELETE,NO
anon,app,teacher_requests,INSERT,NO
anon,app,teacher_requests,SELECT,NO
anon,app,teacher_requests,UPDATE,NO
authenticated,app,teacher_requests,DELETE,NO
authenticated,app,teacher_requests,INSERT,NO
authenticated,app,teacher_requests,SELECT,NO
authenticated,app,teacher_requests,UPDATE,NO
postgres,app,teacher_requests,DELETE,YES
postgres,app,teacher_requests,INSERT,YES
postgres,app,teacher_requests,REFERENCES,YES
postgres,app,teacher_requests,SELECT,YES
postgres,app,teacher_requests,TRIGGER,YES
postgres,app,teacher_requests,TRUNCATE,YES
postgres,app,teacher_requests,UPDATE,YES
anon,app,teacher_slots,DELETE,NO
anon,app,teacher_slots,INSERT,NO
anon,app,teacher_slots,SELECT,NO
anon,app,teacher_slots,UPDATE,NO
authenticated,app,teacher_slots,DELETE,NO
authenticated,app,teacher_slots,INSERT,NO
authenticated,app,teacher_slots,SELECT,NO
authenticated,app,teacher_slots,UPDATE,NO
postgres,app,teacher_slots,DELETE,YES
postgres,app,teacher_slots,INSERT,YES
postgres,app,teacher_slots,REFERENCES,YES
postgres,app,teacher_slots,SELECT,YES
postgres,app,teacher_slots,TRIGGER,YES
postgres,app,teacher_slots,TRUNCATE,YES
postgres,app,teacher_slots,UPDATE,YES
postgres,auth,audit_log_entries,DELETE,NO
postgres,auth,audit_log_entries,INSERT,NO
postgres,auth,audit_log_entries,REFERENCES,NO
postgres,auth,audit_log_entries,SELECT,YES
postgres,auth,audit_log_entries,TRIGGER,NO
postgres,auth,audit_log_entries,TRUNCATE,NO
postgres,auth,audit_log_entries,UPDATE,NO
postgres,auth,flow_state,DELETE,NO
postgres,auth,flow_state,INSERT,NO
postgres,auth,flow_state,REFERENCES,NO
postgres,auth,flow_state,SELECT,YES
postgres,auth,flow_state,TRIGGER,NO
postgres,auth,flow_state,TRUNCATE,NO
postgres,auth,flow_state,UPDATE,NO
postgres,auth,identities,DELETE,NO
postgres,auth,identities,INSERT,NO
postgres,auth,identities,REFERENCES,NO
postgres,auth,identities,SELECT,YES
postgres,auth,identities,TRIGGER,NO
postgres,auth,identities,TRUNCATE,NO
postgres,auth,identities,UPDATE,NO
postgres,auth,instances,DELETE,NO
postgres,auth,instances,INSERT,NO
postgres,auth,instances,REFERENCES,NO
postgres,auth,instances,SELECT,YES
postgres,auth,instances,TRIGGER,NO
postgres,auth,instances,TRUNCATE,NO
postgres,auth,instances,UPDATE,NO
postgres,auth,mfa_amr_claims,DELETE,NO
postgres,auth,mfa_amr_claims,INSERT,NO
postgres,auth,mfa_amr_claims,REFERENCES,NO
postgres,auth,mfa_amr_claims,SELECT,YES
postgres,auth,mfa_amr_claims,TRIGGER,NO
postgres,auth,mfa_amr_claims,TRUNCATE,NO
postgres,auth,mfa_amr_claims,UPDATE,NO
postgres,auth,mfa_challenges,DELETE,NO
postgres,auth,mfa_challenges,INSERT,NO
postgres,auth,mfa_challenges,REFERENCES,NO
postgres,auth,mfa_challenges,SELECT,YES
postgres,auth,mfa_challenges,TRIGGER,NO
postgres,auth,mfa_challenges,TRUNCATE,NO
postgres,auth,mfa_challenges,UPDATE,NO
postgres,auth,mfa_factors,DELETE,NO
postgres,auth,mfa_factors,INSERT,NO
postgres,auth,mfa_factors,REFERENCES,NO
postgres,auth,mfa_factors,SELECT,YES
postgres,auth,mfa_factors,TRIGGER,NO
postgres,auth,mfa_factors,TRUNCATE,NO
postgres,auth,mfa_factors,UPDATE,NO
postgres,auth,oauth_clients,DELETE,NO
postgres,auth,oauth_clients,INSERT,NO
postgres,auth,oauth_clients,REFERENCES,NO
postgres,auth,oauth_clients,SELECT,NO
postgres,auth,oauth_clients,TRIGGER,NO
postgres,auth,oauth_clients,TRUNCATE,NO
postgres,auth,oauth_clients,UPDATE,NO
postgres,auth,one_time_tokens,DELETE,NO
postgres,auth,one_time_tokens,INSERT,NO
postgres,auth,one_time_tokens,REFERENCES,NO
postgres,auth,one_time_tokens,SELECT,YES
postgres,auth,one_time_tokens,TRIGGER,NO
postgres,auth,one_time_tokens,TRUNCATE,NO
postgres,auth,one_time_tokens,UPDATE,NO
postgres,auth,refresh_tokens,DELETE,NO
postgres,auth,refresh_tokens,INSERT,NO
postgres,auth,refresh_tokens,REFERENCES,NO
postgres,auth,refresh_tokens,SELECT,YES
postgres,auth,refresh_tokens,TRIGGER,NO
postgres,auth,refresh_tokens,TRUNCATE,NO
postgres,auth,refresh_tokens,UPDATE,NO
postgres,auth,saml_providers,DELETE,NO
postgres,auth,saml_providers,INSERT,NO
postgres,auth,saml_providers,REFERENCES,NO
postgres,auth,saml_providers,SELECT,YES
postgres,auth,saml_providers,TRIGGER,NO
postgres,auth,saml_providers,TRUNCATE,NO
postgres,auth,saml_providers,UPDATE,NO
postgres,auth,saml_relay_states,DELETE,NO
postgres,auth,saml_relay_states,INSERT,NO
postgres,auth,saml_relay_states,REFERENCES,NO
postgres,auth,saml_relay_states,SELECT,YES
postgres,auth,saml_relay_states,TRIGGER,NO
postgres,auth,saml_relay_states,TRUNCATE,NO
postgres,auth,saml_relay_states,UPDATE,NO
postgres,auth,sessions,DELETE,NO
postgres,auth,sessions,INSERT,NO
postgres,auth,sessions,REFERENCES,NO
postgres,auth,sessions,SELECT,YES
postgres,auth,sessions,TRIGGER,NO
postgres,auth,sessions,TRUNCATE,NO
postgres,auth,sessions,UPDATE,NO
postgres,auth,sso_domains,DELETE,NO
postgres,auth,sso_domains,INSERT,NO
postgres,auth,sso_domains,REFERENCES,NO
postgres,auth,sso_domains,SELECT,YES
postgres,auth,sso_domains,TRIGGER,NO
postgres,auth,sso_domains,TRUNCATE,NO
postgres,auth,sso_domains,UPDATE,NO
postgres,auth,sso_providers,DELETE,NO
postgres,auth,sso_providers,INSERT,NO
postgres,auth,sso_providers,REFERENCES,NO
postgres,auth,sso_providers,SELECT,YES
postgres,auth,sso_providers,TRIGGER,NO
postgres,auth,sso_providers,TRUNCATE,NO
postgres,auth,sso_providers,UPDATE,NO
postgres,auth,users,DELETE,NO
postgres,auth,users,INSERT,NO
postgres,auth,users,REFERENCES,NO
postgres,auth,users,SELECT,YES
postgres,auth,users,TRIGGER,NO
postgres,auth,users,TRUNCATE,NO
postgres,auth,users,UPDATE,NO
PUBLIC,extensions,pg_stat_statements,SELECT,NO
dashboard_user,extensions,pg_stat_statements,DELETE,NO
dashboard_user,extensions,pg_stat_statements,INSERT,NO
dashboard_user,extensions,pg_stat_statements,REFERENCES,NO
dashboard_user,extensions,pg_stat_statements,SELECT,NO
dashboard_user,extensions,pg_stat_statements,TRIGGER,NO
dashboard_user,extensions,pg_stat_statements,TRUNCATE,NO
dashboard_user,extensions,pg_stat_statements,UPDATE,NO
postgres,extensions,pg_stat_statements,DELETE,YES
postgres,extensions,pg_stat_statements,INSERT,YES
postgres,extensions,pg_stat_statements,REFERENCES,YES
postgres,extensions,pg_stat_statements,SELECT,YES
postgres,extensions,pg_stat_statements,TRIGGER,YES
postgres,extensions,pg_stat_statements,TRUNCATE,YES
postgres,extensions,pg_stat_statements,UPDATE,YES
PUBLIC,extensions,pg_stat_statements_info,SELECT,NO
dashboard_user,extensions,pg_stat_statements_info,DELETE,NO
dashboard_user,extensions,pg_stat_statements_info,INSERT,NO
dashboard_user,extensions,pg_stat_statements_info,REFERENCES,NO
dashboard_user,extensions,pg_stat_statements_info,SELECT,NO
dashboard_user,extensions,pg_stat_statements_info,TRIGGER,NO
dashboard_user,extensions,pg_stat_statements_info,TRUNCATE,NO
dashboard_user,extensions,pg_stat_statements_info,UPDATE,NO
postgres,extensions,pg_stat_statements_info,DELETE,YES
postgres,extensions,pg_stat_statements_info,INSERT,YES
postgres,extensions,pg_stat_statements_info,REFERENCES,YES
postgres,extensions,pg_stat_statements_info,SELECT,YES
postgres,extensions,pg_stat_statements_info,TRIGGER,YES
postgres,extensions,pg_stat_statements_info,TRUNCATE,YES
postgres,extensions,pg_stat_statements_info,UPDATE,YES
anon,public,admin_keys,DELETE,NO
anon,public,admin_keys,INSERT,NO
anon,public,admin_keys,REFERENCES,NO
anon,public,admin_keys,SELECT,NO
anon,public,admin_keys,TRIGGER,NO
anon,public,admin_keys,TRUNCATE,NO
anon,public,admin_keys,UPDATE,NO
authenticated,public,admin_keys,DELETE,NO
authenticated,public,admin_keys,INSERT,NO
authenticated,public,admin_keys,REFERENCES,NO
authenticated,public,admin_keys,SELECT,NO
authenticated,public,admin_keys,TRIGGER,NO
authenticated,public,admin_keys,TRUNCATE,NO
authenticated,public,admin_keys,UPDATE,NO
postgres,public,admin_keys,DELETE,YES
postgres,public,admin_keys,INSERT,YES
postgres,public,admin_keys,REFERENCES,YES
postgres,public,admin_keys,SELECT,YES
postgres,public,admin_keys,TRIGGER,YES
postgres,public,admin_keys,TRUNCATE,YES
postgres,public,admin_keys,UPDATE,YES
service_role,public,admin_keys,DELETE,NO
service_role,public,admin_keys,INSERT,NO
service_role,public,admin_keys,REFERENCES,NO
service_role,public,admin_keys,SELECT,NO
service_role,public,admin_keys,TRIGGER,NO
service_role,public,admin_keys,TRUNCATE,NO
service_role,public,admin_keys,UPDATE,NO
anon,public,availability_slots,DELETE,NO
anon,public,availability_slots,INSERT,NO
anon,public,availability_slots,REFERENCES,NO
anon,public,availability_slots,SELECT,NO
anon,public,availability_slots,TRIGGER,NO
anon,public,availability_slots,TRUNCATE,NO
anon,public,availability_slots,UPDATE,NO
authenticated,public,availability_slots,DELETE,NO
authenticated,public,availability_slots,INSERT,NO
authenticated,public,availability_slots,REFERENCES,NO
authenticated,public,availability_slots,SELECT,NO
authenticated,public,availability_slots,TRIGGER,NO
authenticated,public,availability_slots,TRUNCATE,NO
authenticated,public,availability_slots,UPDATE,NO
postgres,public,availability_slots,DELETE,YES
postgres,public,availability_slots,INSERT,YES
postgres,public,availability_slots,REFERENCES,YES
postgres,public,availability_slots,SELECT,YES
postgres,public,availability_slots,TRIGGER,YES
postgres,public,availability_slots,TRUNCATE,YES
postgres,public,availability_slots,UPDATE,YES
service_role,public,availability_slots,DELETE,NO
service_role,public,availability_slots,INSERT,NO
service_role,public,availability_slots,REFERENCES,NO
service_role,public,availability_slots,SELECT,NO
service_role,public,availability_slots,TRIGGER,NO
service_role,public,availability_slots,TRUNCATE,NO
service_role,public,availability_slots,UPDATE,NO
anon,public,bookings,DELETE,NO
anon,public,bookings,INSERT,NO
